HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url_0,Input.threadNum,Input.annotation,Input.accepted,Answer.annotatedResult_0.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
37M4O367WNTBMRCWDV8A332GV9KM5R,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:21 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:21 PDT 2020,,,3U0SRXB7CIG8VGSNC65E83SY7EGRNQ,ASCLZFXD9WMON,Submitted,Mon May 25 11:21:01 PDT 2020,Mon May 25 11:21:27 PDT 2020,Mon Jun 01 11:21:27 PDT 2020,,,,26,48% (16/33),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150301_r0_w0_2020-04-09_01-58-01.jpg,2,,False,[],575,704,x,
36MUZ9VAFAD8EGZCB32AO7LZZORED2,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,3S3AMIZX3ZGV32CR5F1GN3HITACDCR,A1OTE7CRHWUOGJ,Submitted,Mon May 25 11:24:08 PDT 2020,Mon May 25 11:24:43 PDT 2020,Mon Jun 01 11:24:43 PDT 2020,,,,35,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_19-54-08.jpg,2,,False,[],576,720,x,
3W9XHF7WHO6IH5NJTFDSR6GQM7BTKK,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:19 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:19 PDT 2020,,,3HUTX6F6VZY99HBEYVQQMKKVLX82O6,A3FA5P7O80KJAP,Submitted,Mon May 25 11:31:54 PDT 2020,Mon May 25 11:33:48 PDT 2020,Mon Jun 01 11:33:48 PDT 2020,,,,114,100% (18/18),100% (18/18),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r7_w0_2020-02-24_03-30-08.jpg,2,,False,[],576,720,x,
3WJGKMRWWMKTHIFYFCWFYJLWECECD7,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:21 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:21 PDT 2020,,,3LO69W1SU8ORIQGOKIVNW7A20B9LGS,A3JREL8PPNS8L2,Submitted,Mon May 25 11:38:07 PDT 2020,Mon May 25 11:40:06 PDT 2020,Mon Jun 01 11:40:06 PDT 2020,,,,119,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150301_r0_w0_2020-04-09_07-58-01.jpg,2,,False,"[{""height"":119,""label"":""Heavy Equipment"",""left"":225,""top"":127,""width"":100},{""height"":22,""label"":""Car"",""left"":363,""top"":130,""width"":29},{""height"":12,""label"":""Car"",""left"":431,""top"":82,""width"":17},{""height"":18,""label"":""Truck"",""left"":467,""top"":64,""width"":18}]",576,704,,Incorrect classification of Image #1. Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles). 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
37Y5RYYI1TGNM59B3YNR7VS6GXCXSO,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:40 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:40 PDT 2020,,,39JEC7537ZCHXJCDW01ATPNPTHHCVQ,A3CPXID0CCAPS0,Submitted,Mon May 25 11:27:09 PDT 2020,Mon May 25 11:27:24 PDT 2020,Mon Jun 01 11:27:24 PDT 2020,,,,15,100% (60/60),100% (60/60),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150302_r0_w0_2020-02-24_08-23-26.jpg,2,,False,"[{""height"":13,""label"":""Car"",""left"":84,""top"":58,""width"":15},{""height"":14,""label"":""Motorbike"",""left"":69,""top"":48,""width"":12}]",576,703,,Incorrect classification of Image #1. Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles). 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
3OYHVNTV6X924DIBXYRTXWA3NZUOKT,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,3QIYRE09Y8SK2BT6ECQZ2CAL3HNN1T,AUYKC1NB9YIRG,Submitted,Mon May 25 11:26:13 PDT 2020,Mon May 25 11:27:00 PDT 2020,Mon Jun 01 11:27:00 PDT 2020,,,,47,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150302_r0_w0_2020-05-06_07-55-45.jpg,2,,False,"[{""height"":13,""label"":""Car"",""left"":91,""top"":44,""width"":14}]",576,704,x,
3421H3BMAES4M68NDO8ZZRF1DB8J9B,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,32SVAV9L3KK9SVDWSCZD4Z5I2U2A3O,A3BWT1FQEZUN8C,Submitted,Mon May 25 11:21:28 PDT 2020,Mon May 25 11:21:44 PDT 2020,Mon Jun 01 11:21:44 PDT 2020,,,,16,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-05_01-54-08.jpg,2,,False,[],576,720,x,
33EEIIWHLBIJ50P3BFX4OAGKIYJQVP,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:20 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:20 PDT 2020,,,34Z02EIMIXOIQZD8FP8BX6X3N79T03,A2G4SX2VMF4YLJ,Submitted,Mon May 25 11:55:53 PDT 2020,Mon May 25 11:56:02 PDT 2020,Mon Jun 01 11:56:02 PDT 2020,,,,9,77% (33/43),76% (31/41),73% (27/37),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r7_w0_2020-03-13_07-54-08.jpg,2,,False,"[{""height"":32,""label"":""Car"",""left"":89,""top"":138,""width"":43}]",576,720,,Incorrect classification of Image #1. Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles). 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
3P0I4CQYW2ITZDCSMCAWL74YA63WOX,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,3TYCR1GOTHUR97BTAAJCHEQ8B10ZLS,A1PS4V0OY27K1F,Submitted,Mon May 25 11:26:01 PDT 2020,Mon May 25 11:26:58 PDT 2020,Mon Jun 01 11:26:58 PDT 2020,,,,57,100% (1/1),100% (1/1),100% (1/1),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150302_r0_w0_2020-05-06_13-55-45.jpg,2,,False,"[{""height"":432,""label"":""Trailer"",""left"":166,""top"":144,""width"":437}]",576,704,,Incorrect classification of Image #1. Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles). 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
3MA5N0ATUGMA9MRDOKI3EQNPQ1TWKD,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:21 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:21 PDT 2020,,,3I02618YA5H0ETWHWFDBH3KDETMPUR,A37XS6I5TWD9SC,Submitted,Mon May 25 11:27:19 PDT 2020,Mon May 25 11:27:48 PDT 2020,Mon Jun 01 11:27:48 PDT 2020,,,,29,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150301_r0_w0_2020-04-09_13-58-01.jpg,2,,False,"[{""height"":67,""label"":""Car"",""left"":156,""top"":243,""width"":88},{""height"":26,""label"":""Car"",""left"":377,""top"":112,""width"":32},{""height"":8,""label"":""Car"",""left"":438,""top"":58,""width"":7}]",576,704,x,
3XBXDSS89CU0ISELJPQQV9EBO34LXY,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:20 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:20 PDT 2020,,,3I0BTBYZA2WE7LC2PVVA5NPI29P0YX,A1M2NBFB7EX8I0,Submitted,Mon May 25 11:42:25 PDT 2020,Mon May 25 11:42:50 PDT 2020,Mon Jun 01 11:42:50 PDT 2020,,,,25,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r7_w0_2020-04-01_07-54-08.jpg,2,,False,"[{""height"":17,""label"":""Truck"",""left"":199,""top"":119,""width"":20}]",576,720,x,
3NKW03WTMQIWKPP81P20ACZYP7LWQ5,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,3Y54SXRO1QWY6LPODWMVMDLA3W7TU0,AUYKC1NB9YIRG,Submitted,Mon May 25 11:24:26 PDT 2020,Mon May 25 11:24:37 PDT 2020,Mon Jun 01 11:24:37 PDT 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150302_r0_w0_2020-05-06_19-55-44.jpg,2,,False,[],576,704,x,
3R4QIDVOKTND6MDC7YDUUP3KZ0SEEV,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,3LYA37P8IVYK73QVJWR8GW6QVYBKB6,AA9Y4BEMJYWN1,Submitted,Mon May 25 11:36:01 PDT 2020,Mon May 25 11:37:54 PDT 2020,Mon Jun 01 11:37:54 PDT 2020,,,,113,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-05_07-54-08.jpg,2,,False,"[{""height"":6,""label"":""Car"",""left"":94,""top"":120,""width"":9}]",576,720,x,
3X7837UUBH9H4N6PFH5NFHOZNA0J60,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:21 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:21 PDT 2020,,,326O153BMN9A00W5167BDRHLEMTEDP,A1MYS97VELFE9V,Submitted,Mon May 25 11:42:48 PDT 2020,Mon May 25 11:43:05 PDT 2020,Mon Jun 01 11:43:05 PDT 2020,,,,17,100% (8/8),100% (8/8),100% (8/8),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150301_r0_w0_2020-04-09_19-58-01.jpg,2,,False,[],576,704,x,
